domain	subset	idx	label	sentence1	sentence2	file
SMTeuroparl	2012train	336	4.4	The other viewpoint illustrated by the rapporteur' s initial statement and shared by a number of members is to promote regulations and codes of conduct which are needed in order to establish among insurers ways of organising costs on a mutual basis providing everybody with guaranteed access to high-quality care and to counter the risk of discriminatory practices developing together with risk and client selection.	The other point of view, illustrated by the original words of the rapporteur and shared by many colleagues, is to promote the regulations and the codes of conduct needed to establish, between insurers, forms of mutual costs guaranteeing to all the provision of a good quality of care and to counter the risk of seeing develop discriminatory practices and a selection of risks and customers.	sts-mt
SMTeuroparl	2012train	378	4.25	On my own behalf and on behalf of my colleagues in the Committee on Fisheries, I would ask you, Madam President, to send Parliament' s condolences to the families of the victims and to the local authorities in both Brittany and in Marín, Galicia, from where the majority of the victims came.	Madam President, I would ask you, on behalf of my colleagues in the Committee on Fisheries and on my own behalf, to send a message of condolence from Parliament to the families of the victims and the local authorities of both Brittany and MarÃ­n, city of Galicia, which most of the victims.	sts-mt
surprise.SMTnews	2012test	192	3.5	The answer lies in the support that Indonesian pro-democracy activists can generate domestically and internationally.	The answer lies in the support that democratic activists Indonesia can generate nationalement and internationally.	sts-mt
SMTeuroparl	2012train	263	3.4	The House had also fought, however, for the reduction of the funds available for innovative measures to be offset by means of resources from the flexibility instrument, a demand which is recorded in a declaration on the financial perspective in the Interinstitutional Agreement.	This Parliament however also fought so that this reduction of the funds allocated with the innovative measures is compensated by the use of the framework of flexibilisation, defined in a declaration on the financial perspective.	sts-mt
surprise.SMTnews	2012test	166	3.5	And, perhaps most importantly, Ahmadinejad is a destabilizing influence; Bernanke is not.	And, perhaps the most important, Ahmadinejad affects destabilizing, Bernanke.	sts-mt
surprise.SMTnews	2012test	215	5.0	The questions are many.	The questions are numerous.	sts-mt
SMTeuroparl	2012test	292	5.0	The European Union has got to do something and do it quickly.	The European Union must be involved and do so quickly.	sts-mt
SMTeuroparl	2012train	238	4.6	Mr President, we took a great deal of care over preparing the Karamanou report in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs.	Mr President, the Committee on Citizens' Freedoms and Rights, Justice and Internal Affairs has prepared with great care the Karamanou report.	sts-mt
SMTeuroparl	2012test	258	4.0	Unfortunately, others separate on the basis of accumulated hatred.	Other divide unfortunately because of a grudge accumulated.	sts-mt
surprise.SMTnews	2012test	385	4.75	In other areas, sharia law is being introduced by force.	In other regions, the Sharia is imposed.	sts-mt
SMTeuroparl	2012train	20	4.4	After all, it is by no means certain that the proposed definition of equitable price is better than any other, because the various definitions that are currently in use in the Member States are all perfectly satisfactory.	Indeed, it is not absolutely certain that the definition of fair price proposed is better than another, because the different definitions are currently used in the Member States are enough is enough.	sts-mt
surprise.SMTnews	2012test	83	5.0	Being a Muslim and being an Islamist are not the same thing.	To be Muslim and be Islamiste are two different things.	sts-mt
SMTeuroparl	2012test	338	4.8	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained it in second reading, a crisis is at the base of this modification of directive.	sts-mt
SMTeuroparl	2012test	437	5.0	Van Orden Report (A5-0241/2000)	Report Van Orden, A5-0241/2000 --	sts-mt
SMTeuroparl	2012train	538	4.2	Worst of all, I believe, is having to issue a warning that a court judgment in their favour may just be a set of comforting words and make no real difference in their lives.	In my eyes, there is however nothing worse than to have to inform people that a judgment delivered in their favour could be only one series of comforting words and not to have any practical consequence on their existence.	sts-mt
surprise.SMTnews	2012test	198	4.75	Pro-market economists don't object to corporations that blatantly use snob appeal to promote their products.	Economists pro-marché are not opposed to companies which openly using the attractiveness of luxury to promote their products.	sts-mt
SMTeuroparl	2012train	594	4.8	Unfortunately, the ultimate objective of a European Constitution would be precisely the opposite, and so, of course, we cannot vote for it.	Unfortunately the final objective of a European Constitution would be exactly the opposite course and we cannot approve it.	sts-mt
SMTeuroparl	2012train	468	4.8	The labelling of beef that was agreed on, which is a minimum form of labelling and only came into force two and a half months ago, does not make it possible for the origin of animals to be adequately traced, and we were very slow to ban specified risk materials.	The labelling of beef which has been decided, which is a minimum labelling and which has only been in force for two and a half months, does not make it possible to properly remind the origin of the animals and we banned very late specified risk material.	sts-mt
SMTeuroparl	2012test	207	4.167	I am one of those Members who attends sittings quite faithfully.	I am one of the Members who are quite honourably here.	sts-mt
surprise.SMTnews	2012test	137	4.25	It then appointed a task force to formulate the necessary changes in tax and spending policies.	It has appointed a working Group responsible for drawing the necessary changes to bring to public expenditure and fiscal policies.  	sts-mt
SMTeuroparl	2012test	99	5.0	The leaders have now been given a new chance and let us hope they seize it.	The leaders have today of a new opportunity and let them therefore seized.	sts-mt
surprise.SMTnews	2012test	269	3.5	"Gays and other ""modern"" practices are rejected as self-indulgent."	"The gay and other practices ""Modern"" are rejected, because nombrilistes."	sts-mt
surprise.SMTnews	2012test	52	4.25	"Only a month ago, Mubarak dismissed demands for constitutional reform as ""futile."""	"Only a month before, muybarak applications of constitutional reform disrupted were ""futile."""	sts-mt
SMTeuroparl	2012train	142	4.0	Those who stand apart from reinforced cooperation are really being given the same freedom as the back seat passengers in a car.	Those who refuse closer cooperation to enjoy the same freedom of movement that passengers in the back seat of a car.	sts-mt
SMTeuroparl	2012train	527	4.4	The lesson for this Parliament this morning must be that we have to conclude that maritime laws throughout the world are in a state of shambles and we have to begin the process of putting them right.	The lesson that must keep this Assembly in its debate of this morning is that we are forced to conclude that the maritime laws are, all over the world, in a State of mess, and that we should get down to the task to put in order.  	sts-mt
SMTeuroparl	2012test	131	4.8	Unfortunately, others separate on the basis of accumulated hatred.	Other separate unfortunately because of a grudge accumulated.	sts-mt
surprise.SMTnews	2012test	331	5.0	What we are witnessing today is a shift from a Muslim identity to an Islamist identity.	We are now witnessing the change of Muslim identity for an Islamic identity.	sts-mt
SMTeuroparl	2012train	213	4.4	The Council of Europe, along with the Court of Human Rights, has a wealth of experience of such forms of supervision, and we can build on these.	Just as the Court of human rights, the Council of Europe also has a solid experience in this regard such forms of control and we can take as a basis.  	sts-mt
SMTeuroparl	2012train	453	4.8	Unfortunately, the ultimate objective of a European Constitution would be precisely the opposite, and so, of course, we cannot vote for it.	Unfortunately the final objective of a European Constitution would be exactly opposite and obviously we cannot approve it.	sts-mt
surprise.SMTnews	2012test	127	4.25	Pro-market economists don't object to corporations that blatantly use snob appeal to promote their products.	The economists, does not include the companies which use the attraction of luxury to promote their products.  	sts-mt
SMTeuroparl	2012train	547	3.4	Let us, as a Europe of 15 Member States, organise ourselves in order to be able to welcome those countries who are knocking at the door into the fold under respectable conditions.	Let us organise ourselves in fifteen in order to be able to welcome in the countries that are knocking at our door.	sts-mt
surprise.SMTnews	2012test	196	4.75	It then appointed a task force to formulate the necessary changes in tax and spending policies.	Then appointed a working party to make the necessary changes to give the policies public spending and to fiscal policies.	sts-mt
SMTeuroparl	2012test	129	5.0	Neither was there a qualified majority within this House to revert to Article 272.	There was no qualified majority in this Parliament to go back to Article 272.	sts-mt
SMTeuroparl	2012train	12	4.5	Thank you very much, Commissioner.	Thank you very much, Mr Commissioner.	sts-mt
SMTeuroparl	2012train	25	4.4	I find it rather odd that people are already trying to tie the Commission's hands in relation to the proposal for a directive, while at the same calling on it to present a Green Paper on the current situation with regard to optional and supplementary health insurance schemes.	I find it a little strange to now obliging the Commission to a motion for a resolution and to ask him at the same time to draw up a Green Paper on the current state of voluntary insurance and supplementary sickness insurance.	sts-mt
surprise.SMTnews	2012test	191	4.5	The president has fewer powers than it seems, overshadowed particularly by Supreme Guide Ayatollah Ali Khamenei.	The President has fewer powers that it seems, and it is particuli rement overshadowed by the supr guides me Ayatollah Ali Khamenei.	sts-mt
SMTeuroparl	2012train	619	4.4	I stress this point because the market cannot regulate everything, which is why competition is not completely unrestricted, nor should it be.	I insist on this point because the market cannot regulate everything and that, in this perspective, there is neither can be no competition without limits.	sts-mt
SMTeuroparl	2012test	444	4.429	The vote will take place today at 5.30 p.m.	The vote will take place at 5.30 p.m.	sts-mt
surprise.SMTnews	2012test	39	4.75	Each side had quite different theories and explanations of what was going on.	Every originator had theories and explanations appreciably different on the situation.	sts-mt
surprise.SMTnews	2012test	376	2.25	The Political Stock Market	The politization of the markets of the transferable securities	sts-mt
SMTeuroparl	2012train	498	4.4	It is unlikely that the planned protection of the universal provision of services by means of a compensatory fund, as a result of which private profits are ploughed back into public services, will last.	The safeguarding of the universal service with compensation fund which would make it possible to initiate private profits for the benefit of the public service will probably failure.	sts-mt
postediting	2016	553	5.0	The electronic vouchers are valid from tomorrow not only in the capital, but also in the surrounding area of the city.	The electronic vouchers are valid from tomorrow not only in the capital, but also in the surrounding areas of the city.	sts-mt
surprise.SMTnews	2012test	88	4.75	Foremost among these is that economic development is largely in the hands of poor nations themselves.	At the forefront of these lessons, we learn that economic development is largely left in the hands of poor nations themselves.	sts-mt
postediting	2016	1577	3.0	But what a great long distance athlete.	But what great athlete of substance.	sts-mt
SMTeuroparl	2012train	474	4.2	The resolution on Nice, voted today, does not reflect this.	The resolution on the Nice Summit, which has just been voted, does not reflect it.	sts-mt
SMTeuroparl	2012train	362	4.8	We have started to exchange ideas on this question, from which it has emerged that all the Member States want to maintain this ceiling after enlargement.	We started to have exchanges on this question, from where it arises that all the Member States wish the maintenance of this ceiling after widening.	sts-mt
SMTeuroparl	2012train	549	4.0	It is gratifying that Parliament has succeeded in producing a large majority in favour of more openness.	It should be delighted that the Parliament together a broad majority in favour of greater transparency.  	sts-mt
SMTeuroparl	2012train	258	5.0	Question No 6 by (H-0886/00):	Question No 6 by (h 0886 / 00):	sts-mt
surprise.SMTnews	2012test	126	4.8	They are ignorant, poor, and sick.	They are poor, sick and uncultivated.	sts-mt
surprise.SMTnews	2012test	106	5.0	And, perhaps most importantly, Ahmadinejad is a destabilizing influence; Bernanke is not.	And, perhaps most important, Ahmadinejad has destabilizing influence, not Bernanke	sts-mt
SMTeuroparl	2012test	89	5.0	(Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution)	sts-mt
SMTeuroparl	2012train	350	4.4	All those who are at present engaged in illicit work would obtain work with decent social conditions.	All those who are currently working to obtain an undeclared employment in decent social conditions.	sts-mt
SMTeuroparl	2012train	160	2.8	I know that in France they have had whole herd slaughter and this does not seem to be the best way forward.	I know that in France, the principle of the whole and that it does not seem to be the best way to combat this phenomenon.  	sts-mt
SMTeuroparl	2012test	143	5.0	The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed.	sts-mt
SMTeuroparl	2012test	194	4.0	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summarized in two words: the power of the people on the tape.	sts-mt
SMTeuroparl	2012train	496	4.4	Secondly, say no to the big bang idea of incorporating candidate countries simultaneously as a large group, since that would militate against the principle that each country should be admitted on its own merits.	Secondly, it is necessary to say “not” to the concept big-bang which would like that one admits at the same time an major group of country, because that would be in conflict with the principle of the admission of each country according to its merits.	sts-mt
SMTeuroparl	2012test	287	4.8	There must be a balance as a whole.	All must be balanced.	sts-mt
SMTeuroparl	2012test	104	4.667	Mr President, I rise in defence of the workers in the industry.	Mr President, I would like to take the defence of workers in this sector.	sts-mt
SMTeuroparl	2012train	690	4.0	This rule can be applied equally to all recreational but dangerous drugs when no one but the person consuming the drug is likely to be affected.	This rule can also apply to all drugs rÃ©crÃ©ationnelles but dangerous, provided that the consumer of drugs is the only one to run risks.	sts-mt
SMTeuroparl	2012test	421	4.5	Mr President, I rise in defence of the workers in the industry.	Mr President, I should like to take the defence of workers in this sector.	sts-mt
SMTeuroparl	2012test	424	3.75	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We keep unanimity in the Council, and therefore a latent inability to act.	sts-mt
SMTeuroparl	2012train	405	4.6	The resolution on Nice, voted today, does not reflect this.	The resolution on the Nice Summit, which has just been adopted, does not reflect it.	sts-mt
SMTeuroparl	2012train	5	4.8	The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.	The right for a government to dismiss arbitrarily its constitution is the definition of a characteristic tyranny.	sts-mt
SMTeuroparl	2012train	243	4.4	As a matter of urgency, therefore, the staff complement of the Interdepartmental Group attached to the Commission Secretariat should be strengthened at the earliest possible opportunity in order to ensure that all proposals for acts which are general in scope are accompanied, when considered by the College of Commissioners and on the basis of Article 299(2), by a simplified sheet outlining their potential impact.	Thus, it is urgent that manpower of the Interdepartmental Group are very quickly reinforced with the cur of the General Secretariat of the Commission, so that all the proposals of act of general scope can be accompanied, during their examination by the college on basis of Article 299, paragraph 2, of a detailed impact statement.	sts-mt
postediting	2016	1757	2.0	The government has provided £14 billion to protect the deposits of 2.6 million savers of Bradford & Bingleys.	The loan of £14 billion will be repaid when mortgages of Bradford & Bingleys are released.	sts-mt
surprise.SMTnews	2012test	341	3.6	Last year he was wanted for murder.	Last year it was sought for murder.	sts-mt
SMTeuroparl	2012train	379	4.5	At Feira, the Council considered those countries participating in the Stabilisation and Association Process as potential applicants for membership of the European Union.	In Feira, he has recognised the quality of potential candidates for accession to the countries participating in the stabilisation and association process.	sts-mt
SMTeuroparl	2012train	228	4.6	A step in the right direction, for which the European Parliament has been striving for a long time now, is the creation of a provisional unit for judicial cooperation.	The creation of a Provisional Judicial Cooperation Unit is a step in the right direction, not to which the European Parliament is aiming for a long time.	sts-mt
surprise.SMTnews	2012test	119	4.75	Indeed, intolerance goes right to the top of the Turkish government.	It is indisputable that reaches to the Turkish government.  	sts-mt
SMTeuroparl	2012train	296	4.8	. (ES) Mr President, enlargement is essential for the construction of a strong and united European continent.	- (ES) Mr President, enlargement is essential for the construction of a strong and united continent of Europe.	sts-mt
SMTeuroparl	2012train	38	4.0	As a matter of urgency, therefore, the staff complement of the Interdepartmental Group attached to the Commission Secretariat should be strengthened at the earliest possible opportunity in order to ensure that all proposals for acts which are general in scope are accompanied, when considered by the College of Commissioners and on the basis of Article 299(2), by a simplified sheet outlining their potential impact.	Therefore, it is urgent that the personnel of the inter-service group are very quickly reinforced at the heart of the Secretary-General of the Commission, so that all the proposals of the Act of general interest can be accompanied, during their examination by the Commission on the basis of Article 299 (2) of a detailed fiche d'impact.	sts-mt
SMTeuroparl	2012train	696	4.5	Whilst employment may be the European Union' s priority policy, fisheries, as another economic sector, cannot remain on the sidelines.	If employment is the priority Union policy, fishing, as an economic sector, cannot remain in margin.	sts-mt
surprise.SMTnews	2012test	201	2.833	The Political Stock Market	The politicization of securities markets	sts-mt
postediting	2016	1571	0.0	The price of the production of paper, the activities of the print edition and have not changed.	The choice of mode of use and requirements of the future owner.	sts-mt
SMTeuroparl	2012test	413	4.75	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I already explained it in second reading, a crisis is located to the basis of this modification of directive.	sts-mt
SMTeuroparl	2012train	403	4.6	The French Presidency thanks you, Madam President, ladies and gentlemen, for this cooperation, for your support and also for the warm reception you have given us.	For this cooperation, for your support and also for your welcome, Madam President, ladies and gentlemen of the European institutions, the French Presidency thank you.  	sts-mt
surprise.SMTnews	2012test	96	4.5	That is the spirit in which the European Constitution must be written.	That is the spirit in which the European Constitution should be developed.	sts-mt
SMTeuroparl	2012train	447	3.4	That made them heavily dependent on loans.	A development which made capital borrowed heavily dependent.	sts-mt
SMTeuroparl	2012train	656	3.0	There has been a budget heading for the funding of mine clearance and prevention programmes for many years now.	A budget line, programmes and of many years.  	sts-mt
SMTeuroparl	2012test	337	4.8	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summarised in a few words: the power of citizens on bureaucracy.	sts-mt
SMTeuroparl	2012train	503	4.4	And I am telling you loud and clear: Kostunica must be given his chance here and I therefore hope that he will give amnesty in the next couple of weeks or months, but meanwhile, I do want the introduction of those two new budget lines, democratisation and reconstruction, to be accompanied by political conditions, both from a political and budgetary perspective.	And I would say to you very clearly: it must be given a chance to Kostunica, and I therefore hope that it will provide an amnesty over the coming weeks or months; but in the meantime, I hope, however, that, in political terms and in budgetary terms, the political conditions are linked to the introduction of these two new budget lines, namely democratisation and reconstruction.	sts-mt
SMTeuroparl	2012train	652	5.0	Mr President, we took a great deal of care over preparing the Karamanou report in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs.	Mr President, the Committee on citizens' freedoms and rights, justice and internal Affairs has prepared with great care the Karamanou report.  	sts-mt
SMTeuroparl	2012train	674	4.6	The Committee on Legal Affairs and the Internal Market rightly insists on no upper limit and a minimum of no less than 7%.	It is rightly that the Legal Committee persists in the refusal of a ceiling and the maintenance of a minimum rate which cannot be lower than 7%.	sts-mt
SMTeuroparl	2012test	205	4.167	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We keep unanimity in the Council and therefore a latent inability to act.	sts-mt
surprise.SMTnews	2012test	145	4.5	This tendency extends deeper than headscarves.	This trend goes well beyond simple headscarves.	sts-mt
SMTeuroparl	2012train	532	4.25	Mr President, the Commission' s attitude to the right of access to documents may be seen from the internal handbook sent on 11 October to employees of the Commission to tell them how to deal with requests from MEPs for access to documents.	Mr. President, we can know the position of the Commission as regards access to public documents by reading the internal handbook which was given, on October 11, with the Commission officials in order to explain the way to them in which they were to treat the requests emanating of the deputies with regard to the access to the documents.	sts-mt
SMTeuroparl	2012test	92	3.5	That provision could open the door wide to arbitrariness.	This point of the payment opens the door with the arbitrary one.	sts-mt
surprise.SMTnews	2012test	70	4.5	Other ways are needed.	It is necessary to find other means.  	sts-mt
SMTeuroparl	2012test	382	5.0	That provision could open the door wide to arbitrariness.	This point of the regulations opens the door to the arbitrary one.	sts-mt
surprise.SMTnews	2012test	10	4.0	More than that, the divisions are reproduced at the local level.	Beyond the geographical division, divisions recur locally.	sts-mt
SMTeuroparl	2012test	184	4.0	It increases the power of the big countries at the expense of the small countries.	That has for effect to increase the power of the big countries to the detriment of the small ones.	sts-mt
SMTeuroparl	2012train	394	5.0	We welcome the arrangements proposed in this respect by the Preparatory Committee and adopted by the General Assembly regarding procedures for the registration of non-governmental organisations for involvement in the preparatory process and the Special Session in September 2001.	We welcome the proposed provisions in this respect by the preparatory committee and decided by the General Assembly as regards the method of accreditation non-governmental organisations, the preparatory process and the extraordinary session of September 2001.	sts-mt
SMTeuroparl	2012test	25	5.0	Let me remind you that our allies include fervent supporters of this tax.	I want to say to you that among our allies, there are fervent of this tax.	sts-mt
surprise.SMTnews	2012test	107	5.0	Each time, radical improvements in technology made the threat evaporate.	Each time, radical technological progress off these threats.	sts-mt
SMTeuroparl	2012train	206	5.0	Knowledge of foreign languages is accepted as a necessary precursor to mobility.	It is agreed that the knowledge of foreign languages is a necessary precondition for mobility.	sts-mt
surprise.SMTnews	2012test	114	4.4	Other ways are needed.	We must find other ways.	sts-mt
SMTeuroparl	2012train	335	2.8	People with the same business affairs in common are peacefully bound to one another.	The economic activities of links between the people.  	sts-mt
SMTeuroparl	2012test	307	3.75	Tunisia	Tunisia was	sts-mt
surprise.SMTnews	2012test	318	4.75	Moreover, the main oil exporters are unwilling to subordinate their investment policies to market requirements.	What is more, the large oil exporters are not prepared to submit their investment policies to market conditions.	sts-mt
surprise.SMTnews	2012test	2	5.0	And, perhaps most importantly, Ahmadinejad is a destabilizing influence; Bernanke is not.	And, perhaps the most important, Ahmadinejad destabilising influence, not bernanke.	sts-mt
SMTeuroparl	2012train	104	4.6	A step in the right direction, for which the European Parliament has been striving for a long time now, is the creation of a provisional unit for judicial cooperation.	The creation of a provisional unit of judicial cooperation is a step in the right direction, which the European Parliament has been striving for a long time.	sts-mt
SMTeuroparl	2012test	171	4.667	There must be a balance as a whole.	The whole must be in balance.	sts-mt
SMTeuroparl	2012train	299	4.8	But I would like to say to Parliament this afternoon that we should not lose sight of the fact that the EU spends just 1% of GDP and much of that is administered in the Member States.	Nevertheless I would wish to say to the Parliament this afternoon that we should not lose sight of the fact the fact that the European Union spends only 1% of the GDP of the Member States and that the largest part of this money is managed in the Member States.	sts-mt
postediting	2016	3004	1.0	"I am pleased to have a wonderful family who will at best ""."	"I am pleased because she has agreed to play a role in my work and I am honoured ""."	sts-mt
SMTeuroparl	2012test	389	4.75	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with the employees, and the European competitiveness and growth will recede.	sts-mt
surprise.SMTnews	2012test	394	4.75	A defeat on Alstom would have profound consequences in Europe--and not only for competition policy.	Losing on the issue of Alstom would have serious repercussions in Europe and not only for the policies on competition.	sts-mt
surprise.SMTnews	2012test	34	3.0	This gross error is leading Russia to political ruin.	And this mistake mistake is in the process of its political.  	sts-mt
SMTeuroparl	2012test	285	5.0	It increases the power of the big countries at the expense of the small countries.	This is to increase the power of the large countries at the expense of small.	sts-mt
SMTeuroparl	2012test	223	5.0	Mr President, I rise in defence of the workers in the industry.	Mr. President, I make a point of taking the defense of the workers of this sector.	sts-mt
SMTeuroparl	2012train	87	4.0	Mr Gayssot, Greek ships have sunk without warning, when there were no storms in the vicinity.	Greek ship sank, without the least storm in exist, Mr Gayssot.	sts-mt
SMTeuroparl	2012train	459	4.4	Either we are in a club or we are out of it and it is particularly important that we accept this.	Either we are part of the club, or we are not and we must therefore abide by this decision.	sts-mt
SMTeuroparl	2012test	319	4.5	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue to press for Latvia on the issue of the integration of the Russian people.	sts-mt
surprise.SMTnews	2012test	92	4.714	A Europe for All	A Europe for all	sts-mt
SMTeuroparl	2012train	544	2.8	Mr Gayssot, Greek ships have sunk without warning, when there were no storms in the vicinity.	Greek ships ran, without there being the least storm in trimmings, Mr Gayssot.	sts-mt
postediting	2016	1318	3.0	In short - But victorious of Kovalev	In short - victorious goal for Kovalev	sts-mt
SMTeuroparl	2012test	275	4.25	Unfortunately, others separate on the basis of accumulated hatred.	Others unfortunately diverge in response to rancune gained.	sts-mt
SMTeuroparl	2012train	722	3.8	The House had also fought, however, for the reduction of the funds available for innovative measures to be offset by means of resources from the flexibility instrument, a demand which is recorded in a declaration on the financial perspective in the Interinstitutional Agreement.	This Parliament has, however, also fought for this reduction in the funds allocated to the innovative actions should be compensated for by the use of flexible framework, set out in a statement on the financial perspective.	sts-mt
SMTeuroparl	2012train	359	4.8	Therefore, I also believe that this reconciliation is sustainable, but that the government, which has very courageously found a solution to the university issue and to many other issues, needs visible signs of its success, and powerful support, else peace throughout the region will be under threat.	That is why I believe that this reconciliation can take. However, the government, which has very courageously found a solution to the issue of universities and many other problems, needs visible signs of success and a strong support, otherwise the threatened peace throughout the region.	sts-mt
SMTeuroparl	2012train	622	4.8	If we define a clear, binding framework for the Member States, then there should be a longer evaluation period for the various support systems required to satisfy these requirements.	If we define a clear and binding framework for the Member States, the various systems to meet these demands should have a longer period of put to the test.	sts-mt
SMTeuroparl	2012train	248	5.0	Mr Gayssot, Greek ships have sunk without warning, when there were no storms in the vicinity.	The Greek ships have sunk, without there being the slightest storm in its neck of the woods, Mr Gayssot.	sts-mt
SMTeuroparl	2012train	477	4.4	The other viewpoint illustrated by the rapporteur' s initial statement and shared by a number of members is to promote regulations and codes of conduct which are needed in order to establish among insurers ways of organising costs on a mutual basis providing everybody with guaranteed access to high-quality care and to counter the risk of discriminatory practices developing together with risk and client selection.	The other point of view, illustrated by the original subject of the rapporteur and shared by many colleagues, is to promote the regulations and codes of conduct to be found, between insurers, the forms of mutual cost guarantee to all the supply of good quality care and to counter the risks to see developing discriminatory practices and a selection of risks and customers.	sts-mt
SMTeuroparl	2012train	487	4.6	We have started to exchange ideas on this question, from which it has emerged that all the Member States want to maintain this ceiling after enlargement.	We have started to have exchanges on this issue, it emerges that all the Member States wish to the maintenance of this ceiling after enlargement.  	sts-mt
surprise.SMTnews	2012test	294	5.0	The People Versus Putin	The people against Putin	sts-mt
SMTeuroparl	2012train	471	4.8	They will keep the pressure on, and they are strengthening their position with the revenue they are generating from delivering mail above 150 grams.	They will continue to put pressure. The money they earn with the distribution beyond the limit of 150 grammes enables them to strengthen their position.	sts-mt
surprise.SMTnews	2012test	308	4.75	A prominent Chinese businessman who divides his time between Hong-Kong and London was even more specific.	A man of influential, which shares his time between Hong Kong and London, has even been more precise.  	sts-mt
surprise.SMTnews	2012test	82	5.0	But from the American point of view, the international role of the dollar was a trap.	But the American point of view, the international role of the dollar was a trap.	sts-mt
SMTeuroparl	2012test	159	5.0	Tunisia	Tunisia	sts-mt
SMTeuroparl	2012train	556	5.0	I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the eventual Treaty of Nice.	I have also voted against a text that calls for the incorporation of the Charter of Fundamental Rights in the future Treaty to be adopted in Nice.	sts-mt
SMTeuroparl	2012test	435	3.0	The standards are scarcely comparable, let alone transferable.	The rules are comparable only good, let alone.	sts-mt
surprise.SMTnews	2012test	144	1.75	But if Europe's performance continues to decline, would this perception survive?	But this picture can survive in a European?  	sts-mt
SMTeuroparl	2012train	412	4.6	That is what we have done: we have avoided a budgetary crisis by going to Article 272; the financial perspective has been maintained, even though we have used the flexibility instrument.	That is what we have done: we avoided a budgetary crisis back to Article 272, the financial perspective has been maintained, even if we use the flexibility instrument.	sts-mt
surprise.SMTnews	2012test	381	5.0	Being a Muslim and being an Islamist are not the same thing.	To be Muslim and Islamic are two different things.	sts-mt
SMTeuroparl	2012test	400	4.5	There must be a balance as a whole.	All must be in balance.	sts-mt
