Context,Speaker Intent,Dialogue/Prompt Example,Behavioral Strategy,Communication Technique,Desired Outcome (Inferred),Source
"Interacting with someone who is fearful, in crisis, or has mental illness.",To establish trust and reduce fear through validation of their reality.,I want to reassure you that no harm is intended. / I know what you are experiencing is very real TO YOU.,Awareness and Respect over Liking,Direct reassurance and validation of subjective experience,Establishing a safe psychological foundation and reducing defensive postures.,"7, 8"
Handling an angry or frustrated person.,To diffuse intensity through listening.,"""Uh huh... Go on... Yes...""",Simple Listening,Minimal Encouragers,Allowing the individual to vent until emotional intensity decreases.,7
Diffusing a tirade or conflict.,To eliminate resistance by agreeing where possible.,Finding and agreeing with the '2% truth' in an angry statement,Agreeing to take away resistance,Listening for the 2% truth,Eliminating the 'fuel' for the conflict.,7
Meeting a stranger at a windy corner.,To provide comfort and protection through a physical gift.,"""There! It’s cold today. You’ll be glad of them."" (offering gloves)",Vulnerability (Shared sensitivity),The 'Gift' technique (Ritual exchange),"Creation of an intimate, silent understanding and an 'enchanted' connection.",1
Meeting someone you connect with through deep memory.,"To evoke a sense of deep, intuitive memory rather than logical recognition.","""I think I remember something....""",Nudging (Prompting primitive memory),Active listening for the 'uncanny',"Reawakening an archaic, intimate bond that precedes rationalization.",1
Encounter with a powerful guardian or figure.,To show respect and acknowledge shared existence.,"""We are all made of the same stuff, remember, we of the Jungle, you of the City.""",Mutual Respect (The Grand Chain),Ceremonious bowing and symbolic titles,Abolishing fear and establishing fraternity with the 'Other'.,1
Meeting a person who occupies an undefined role.,To establish authority and value through self-possession.,"""I'll take the position... doing us a signal honour.""",High Self-Esteem,Haughty but impeccable mannerisms,Commanding respect and curiosity through an aura of unique status.,1
Teaching social graces during routine interaction.,To transform a rigid task into a game of disguise.,"""I thought it was such a lovely sight that she wished there had been a dozen of her.""",Dandyism (Life as a work of art),Impassibility and attention to aesthetic detail,Empowering the individual to find joy in discipline.,1
Meeting a child at a developmental threshold.,To acknowledge the passing of one mode of connection.,"""So—it’s happened... You’ll forget because you just can’t help it.""",Maternal/Cosmic Acceptance,"Exchanging 'long, slow, secret smiles'",Comforting the subject through shared acknowledgment of life's cycles.,1
Teaching discipline to children or peers.,To encourage effort through the lens of a game.,"""Make an effort, Mrs. Dombey.""",Nudging toward order via creativity,Using metaphors and 'fictional' masks,Compliance rooted in playful engagement.,2
Social media interaction/Displaying identity.,Seeking recognition and affirmation of presence.,"""Just look at you!"" (examining self/reflection)",Narcissistic self-assurance,Visual storytelling and grooming signals,Strengthening personal identity and commanding respect.,2
Interpersonal mediation/Conflict resolution.,Setting boundaries to preserve dignity.,"""My gloves are my gloves and I do what I like with them!""",Assertiveness and autonomy,Direct and practical speech,Enforcing healthy boundaries to maintain individual integrity.,2
Meeting a child/Establishing trust.,Gaining trust through sensory familiarity and order.,"She stood there without saying a word, watching the milk slowly disappear.",Silent presence,Non-verbal validation and sensory comfort,Creating a safe 'holding environment' for emotional development.,2
Psychological counseling/Identity recovery.,Affirming the uniqueness of the individual.,Jane and Michael found their names unexpectedly written on balloons.,Individualization,Surprise and delight,Empowering the subject by recognizing their authentic self.,2
Interpersonal interactions using 'nudging'.,To influence a partner's decision in a non-coercive way.,Choosing a vacation destination after a good meal.,Context-shaping / 'Nudging',Timing-based influence,Achieving a harmonious decision without direct conflict.,9
Conflict mediation or negotiation.,To ensure the other person's 'sovereignty' is respected.,Providing all information rationally and seeking advice of experts.,Respect over liking / Sovereignty,Rational persuasion,Preserving the partner's sense of autonomy.,9
Addressing difficult topics in a relationship.,To resolve issues through non-confrontational dialogue.,Asking a user to take down a photo with dialogue rather than outrage.,Nudging toward pro-social behavior,Compassion-based communication,Maintaining social cohesion without damaging the bond.,10
Responding to delusional statements.,To avoid conflict while maintaining boundaries.,"I can see you are worried... I don't know of anyone who wants to hurt you, but I would like to help you feel safer.",Deferring the issue,Acknowledging feeling without confirming delusion,Maintaining a helping relationship.,7
Expressing understanding of intense emotion.,To validate a feeling to de-escalate behavior.,"""Wow, I can see how something like that could cause some anger!""",Acknowledgement / Empathy,Empathetic Response,Diffusing anger by making the person feel heard.,7
Providing comfort for injustice.,To validate the difficulty of a situation.,"""I'm so sorry you are having such an awful day.""",Apologizing for circumstances,Sincere Apology,Strengthening the bond by showing compassion for a plight.,7
Interacting with an aggressive juvenile.,To bridge the gap after a conflict.,"""We're always hassling you? You want me to back up and leave you alone?""",Reflective Listening,Succinct Paraphrasing,Signaling readiness for constructive talk.,7
Persuading an aging parent to accept help.,To convince them to adopt safer habits without loss of competence.,Explaining that sending checks causes the adult child unnecessary stress.,Using the 'burden' concept,Relational Framing,Nudging toward cooperation by appealing to the desire to help their child.,11
Meeting a stranger in a social setting.,To establish an initial connection and break the ice.,"""Ah, Old 97s"" (referencing a t-shirt)",Common Ground Identification,Small talk based on public identity claims,Reducing social anxiety and fostering friendship.,12
Counseling session addressing ambivalence.,To capture the implicit meaning to encourage exploration.,"""You enjoy the effects of alcohol... But you are beginning to worry about your health.""",Reflection and Exploration,Use Reflections,Highlighting cognitive dissonance to amplify desire for change.,5
Counseling session using importance/confidence scales.,To draw out 'change talk'.,"""Why are you at number and not zero?""",Nudging toward pro-social behavior,Importance Ruler,Identifying internal motivation for a health-related goal.,5
Interpersonal mediation between neighbors.,To lower emotional arousal and reorient toward a solution.,"""Bob, what I hear you saying is that you value your hard work...""",Benevolent Reframing,Positive Reframing,Changing the emotional setting from conflict to collaboration.,8
Counseling for behavior change.,To bypass resistance by using a paradoxical statement.,"""Maybe now is not the right time for you to quit...""",Paradoxical Intention,'Rolling with Resistance',Prompting the client to argue for the change themselves.,8
Initial meeting between strangers during an online recording.,To find common geographical or personal background.,"""So are you from like the Chicago area or elsewhere?""",Information Seeking,Direct Query / Icebreaker,Establishing a 'conversational launch pad'.,13
Crisis intervention/Struggling with hallucinations.,To lower a person's arousal and build rapport.,Not in source,De-escalation,Reducing Threat / Validating feelings,Ensuring safety and establishing trust in a volatile situation.,8
Meeting someone new at a networking event.,To break the ice without the strain of small talk.,"""Hello.""",Simplicity and responsiveness,Silent waiting/Presence,Allowing the partner to drive the initial interaction.,14
Early stages of a social connection.,To build conversational momentum by inviting storytelling.,"""How did you choose your wedding location?""",Momentum building (Doorknobs),Open-ended questioning,Deeper personal disclosure and stronger relational bond.,15
Social interaction with a new friend.,To explore personal identity and foster appreciation.,"""What is your favorite thing about your personality?""",Positive self-reflection,Affirmative questioning,Enhanced self-esteem and mutual positive regard.,16
Therapeutic or supportive scenario with a parent.,To help the speaker disconfirm a negative self-belief.,"""Is there anything you do that might park you into the good mom category?""",Benevolent Manipulation,Evidence-based questioning (CBT),Relief from suffering and shift toward a positive self-view.,17
Interpersonal conflict resolution.,To communicate feelings without triggering defensiveness.,"""I am frustrated when you don't show up to training on time.""",Ownership of emotions,'I' Statements,De-escalation of conflict and preserved rapport.,18
Counseling or deep social bonding.,To demonstrate empathy and ensure the speaker feels heard.,"""Sounds like you are saying you feel hopeless...""",Compassion and Validation,Reflective Listening/Paraphrasing,Strengthened therapeutic alliance and emotional disclosure.,"19, 20"
Dealing with a person struggling with change.,To resolve ambivalence or resistance toward a goal.,"""What makes you think it might be time for change?""",Autonomy and Respect,Evoking 'Change-Talk',Internal mobilization and commitment to growth.,21
Interacting with someone fearful or in crisis.,To reduce fear and promote safety.,(Explaining actions before doing them while keeping voice soft),Non-threatening presence,Compassion cues,Reduction of fight-or-flight responses and establishment of trust.,22
Connecting with elderly family members.,To preserve family legacy and understand lived experience.,"""Which values do you hope you’ve embodied in your life?""",Legacy and Respect,Meaning-focused prompts,Intergenerational connection and personal insight.,23
